Recipients Information=>,FirstName,LastName,Street,City,State,Postal,Country,Email,Phone,Distance(miles),Categories, ,PickUp Information =>,FirstName,LastName,Street,City,State,Postal,Country,Email,Phone,Day of Week
 ,Arturo,Harman,3266 Harrison Street,San Francisco,CA,94115,US,ArturoTHarman@einrot.com,415-563-0322,0.08335076418014571,"['Raw Meat', 'Frozen']", , ,Barbara,Jefferson,4296 Ella Street,San Francisco,CA,94107,US,BarbaraHJefferson@einrot.com,650-297-5537,Saturday
 ,Basil,Mendez,611 Forest Avenue,San Francisco,CA,94143,US,BasilMMendez@armyspy.com,650-202-2768,0.08979909521121407,['Cold Prepared'], , ,Margaret,Redding,2631 Jim Rosa Lane,San Francisco,CA,94104,US,MargaretMRedding@armyspy.com,415-763-9722,Tuesday
 ,Vincent,Byrne,1114 Cemetery Street,San Francisco,CA,94107,US,VincentJByrne@armyspy.com,831-706-3222,0.10567549703913473,"['Dairy', 'Seafood']", , ,Nicole,Colon,3105 Locust View Drive,San Francisco,CA,94118,US,NicoleCColon@jourrapide.com,415-876-4014,Friday
 ,Richard,Berkey,4623 Locust View Drive,San Francisco,CA,94108,US,RichardTBerkey@gustr.com,415-989-3660,0.1111713770040634,"['Hot Prepared', 'Frozen']", , ,Sarah,Lawton,4629 Jim Rosa Lane,San Francisco,CA,94112,US,SarahBLawton@rhyta.com,415-841-5612,Saturday
 ,Norma,Irish,2198 Locust View Drive,San Francisco,CA,94143,US,NormaCIrish@dayrep.com,415-972-7097,0.12050021414782093,['Cold Prepared'], , ,Elizabeth,Davis,2110 Wolf Pen Road,San Francisco,CA,94107,US,ElizabethADavis@jourrapide.com,650-380-8854,Tuesday
 ,Barbara,Corso,4719 Roosevelt Street,San Francisco,CA,94108,US,BarbaraRCorso@rhyta.com,415-403-5561,0.12494008248623074,['Seafood'], , ,Kathryn,Matos,4645 Wolf Pen Road,San Francisco,CA,94107,US,KathrynEMatos@armyspy.com,650-412-3344,Saturday
 ,Beverly,Caldwell,4352 Harrison Street,San Francisco,CA,94107,US,BeverlyJCaldwell@gustr.com,415-531-7726,0.15471781807163792,"['Cold Prepared', 'Frozen']", , ,Reggie,Ealey,3951 Duck Creek Road,San Francisco,CA,94103,US,ReggieJEaley@teleworm.us,650-860-7486,Saturday
 ,Johnny,Messina,1977 Thunder Road,San Francisco,CA,94107,US,JohnnyKMessina@cuvox.de,650-549-2744,0.16046203806636095,['Dairy'], , ,Jeffrey,Campbell,3716 Rardin Drive,San Francisco,CA,94104,US,JeffreyLCampbell@jourrapide.com,650-735-4679,Thursday
 ,Leroy,Davis,3328 Jim Rosa Lane,San Francisco,CA,94143,US,LeroyCDavis@superrito.com,415-836-6094,0.1654317343852292,['Raw Meat'], , ,Nick,Howard,3952 Delaware Avenue,San Francisco,CA,94104,US,NickSHoward@gustr.com,415-236-3552,Thursday
 ,Tammara,Williams,1055 Boring Lane,San Francisco,CA,94122,US,TammaraMWilliams@gustr.com,415-682-8795,0.16848170695239706,['Frozen'], , ,Louis,Smith,4425 Locust View Drive,San Francisco,CA,94143,US,LouisKSmith@gustr.com,415-978-4582,Wednesday
 ,Linda,Brown,2870 Haul Road,San Francisco,CA,94143,US,LindaEBrown@superrito.com,650-999-3353,0.1748967615309682,"['Hot Prepared', 'Cold Prepared']", , ,Rick,Jones,4769 Clifford Street,San Francisco,CA,94124,US,RickFJones@cuvox.de,510-686-4721,Friday
